Volunteer_ID,Volunteer_Name,Age,Gender,District,Availability,Primary_Skill,Secondary_Skill,Languages_Known,Experience_Years,Past_NGO_Work,Emergency_Contact,Blood_Group,Training_Completed,Notes,NGO_ID,NGO_Name,Category,Address,Contact,Volunteers_Needed,Match_Status,Showed_Up,Volunteer_Hours,Satisfaction_Rating
204,Volunteer_104,29,Male,Aurangabad,Weekends,Fundraising,Cooking,"marathi, english",1,Helpage India,9238082848,A+,No,Good with kids,37,Seva Ashram,Education,Sangli,9447705294,10,0,1,4,5
205,Volunteer_105,19,Female,Solapur,Evenings,Counseling,Social Media,"english, marathi",3,Helpage India,9351936230,O-,No,Great fundraiser,39,Anathalaya,Elderly Care,Aurangabad,9286668770,7,1,1,1,3
206,Volunteer_106,27,Female,Solapur,Weekdays,Logistics,First Aid,"hindi, english",2,Red Cross,9232734183,O-,Yes,Great fundraiser,34,Anathalaya,Environment,Sangli,9066779654,7,1,1,3,3
207,Volunteer_107,47,Male,Kolhapur,Weekends,Counseling,Social Media,"marathi, english",2,Helpage India,9659363345,B+,Yes,Handles crowd well,33,Helping Hands,Healthcare,Kolhapur,9048746429,7,0,1,6,5
208,Volunteer_108,21,Female,Solapur,Flexible,Counseling,Photography,"marathi, english",5,None,9377537608,O-,Yes,Good with kids,44,Seva Ashram,Education,Satara,9296925425,5,1,0,8,2
209,Volunteer_109,31,Female,Nashik,Evenings,Medical Assistance,Sports Coaching,"english, marathi",4,None,9357770144,O+,No,Great fundraiser,42,Helping Hands,Elderly Care,Sangli,9053620333,1,0,1,2,1
210,Volunteer_110,48,Male,Satara,Evenings,Teaching,Photography,"marathi, hindi",5,Cry Foundation,9792594335,O-,No,Handles crowd well,40,Helping Hands,Child Care,Aurangabad,9632925297,14,1,0,8,4
211,Volunteer_111,33,Male,Nagpur,Weekends,Logistics,Social Media,"marathi, hindi",2,Red Cross,9970926005,B+,Yes,Good with kids,33,Helping Hands,Elderly Care,Satara,9834197805,18,1,1,1,3
212,Volunteer_112,32,Male,Amravati,Weekdays,Fundraising,First Aid,"hindi, marathi, english",1,None,9312555536,B+,Yes,Experienced nurse,12,Solapur Care Home,Child Care,Kolhapur,9926817555,13,1,1,2,1
213,Volunteer_113,25,Female,Mumbai,Flexible,Medical Assistance,Driving,"english, marathi",4,Childline,9720578066,O+,No,Handles crowd well,2,Helping Hands,Animal Welfare,Aurangabad,9612465759,8,0,1,8,4
214,Volunteer_114,31,Male,Sangli,Weekdays,Event Management,Cooking,"hindi, english",5,Red Cross,9680096069,O-,No,Skilled counselor,28,Jeevan Jyot,Education,Sangli,9035374373,8,0,0,7,4
215,Volunteer_115,40,Male,Amravati,Full-time,Fundraising,Cooking,"hindi, english",5,Red Cross,9188785634,O-,Yes,Good with kids,10,Hope Foundation,Elderly Care,Amravati,9574374588,10,1,1,5,3
216,Volunteer_116,45,Male,Sangli,Full-time,IT Support,Cooking,"english, marathi",2,None,9449142391,A+,No,Great fundraiser,22,Jeevan Jyot,Environment,Pune,9557145447,17,1,0,2,2
217,Volunteer_117,42,Male,Pune,Weekends,Fundraising,Driving,"hindi, english",2,Childline,9119237153,AB+,Yes,Great fundraiser,17,Jeevan Jyot,Elderly Care,Sangli,9954732831,6,0,0,9,2
218,Volunteer_118,47,Male,Amravati,Weekends,Fundraising,Cooking,"marathi, hindi",3,Cry Foundation,9360972883,B+,Yes,Skilled counselor,26,Anathalaya,Education,Aurangabad,9857827481,15,0,0,5,1
219,Volunteer_119,25,Male,Nagpur,Weekends,Counseling,First Aid,"hindi, english",5,None,9246707096,A+,No,Skilled counselor,3,Solapur Care Home,Healthcare,Pune,9229410361,15,0,1,8,1
220,Volunteer_120,38,Female,Kolhapur,Full-time,Fundraising,Driving,"hindi, english",2,Childline,9458792643,B+,No,Great fundraiser,7,Helping Hands,Healthcare,Pune,9847329702,16,1,1,4,5
221,Volunteer_121,33,Female,Nashik,Weekdays,IT Support,Cooking,"english, marathi",0,Red Cross,9980673353,A+,No,Good with kids,44,Anathalaya,Elderly Care,Satara,9494464915,8,1,0,9,2
222,Volunteer_122,30,Male,Satara,Weekdays,IT Support,Driving,"english, marathi",4,Childline,9099504471,AB+,Yes,Handles crowd well,8,Seva Ashram,Elderly Care,Kolhapur,9396456785,19,0,0,7,1
223,Volunteer_123,35,Male,Satara,Weekends,Teaching,Social Media,"hindi, english",0,Red Cross,9855906132,A+,No,Skilled counselor,20,Seva Ashram,Child Care,Sangli,9203575345,15,1,1,2,5
224,Volunteer_124,32,Male,Nashik,Flexible,Fundraising,First Aid,"marathi, english",4,None,9456408586,B+,No,Skilled counselor,12,Anathalaya,Education,Nashik,9817554638,3,0,1,3,4
225,Volunteer_125,38,Female,Aurangabad,Weekdays,Counseling,Music Therapy,"english, marathi",5,None,9236651354,O-,Yes,Skilled counselor,35,Hope Foundation,Child Care,Amravati,9484137523,6,1,0,2,1
226,Volunteer_126,41,Female,Pune,Full-time,Fundraising,Sports Coaching,"hindi, marathi, english",3,Helpage India,9122099087,B+,Yes,Experienced nurse,17,Anathalaya,Environment,Kolhapur,9889576277,8,1,0,5,5
227,Volunteer_127,43,Female,Sangli,Evenings,Event Management,Cooking,"hindi, marathi, english",2,Helpage India,9725245145,O+,No,Good with kids,28,Anathalaya,Animal Welfare,Nashik,9968858482,16,1,1,2,2
